iter	Passed	Remaining
400	17831	26635
401	17876	26593
402	17922	26549
403	17960	26495
404	18001	26446
405	18041	26395
406	18085	26350
407	18127	26302
408	18172	26259
409	18222	26223
410	18279	26196
411	18326	26155
412	18368	26107
413	18410	26059
414	18452	26011
415	18490	25957
416	18529	25906
417	18573	25861
418	18615	25813
419	18657	25765
420	18701	25720
421	18746	25676
422	18788	25628
423	18830	25580
424	18872	25533
425	18917	25489
426	18957	25439
427	19000	25392
428	19041	25344
429	19084	25297
430	19128	25252
431	19172	25208
432	19222	25171
433	19284	25149
434	19329	25105
435	19369	25055
436	19414	25012
437	19456	24964
438	19499	24917
439	19543	24874
440	19588	24829
441	19629	24780
442	19669	24730
443	19712	24685
444	19756	24639
445	19799	24593
446	19839	24543
447	19881	24496
448	19922	24448
449	19967	24404
450	20012	24361
451	20058	24318
452	20101	24272
453	20142	24223
454	20188	24182
455	20247	24155
456	20295	24114
457	20341	24072
458	20381	24022
459	20422	23973
460	20465	23927
461	20507	23881
462	20548	23833
463	20590	23785
464	20629	23734
465	20674	23691
466	20713	23641
467	20753	23592
468	20797	23546
469	20840	23500
470	20884	23456
471	20926	23409
472	20969	23363
473	21014	23320
474	21056	23273
475	21100	23228
476	21139	23178
477	21185	23135
478	21245	23108
479	21295	23070
480	21342	23028
481	21383	22980
482	21424	22932
483	21466	22885
484	21507	22838
485	21547	22789
486	21592	22744
487	21637	22701
488	21680	22656
489	21725	22611
490	21765	22563
491	21808	22517
492	21849	22470
493	21891	22423
494	21937	22380
495	21980	22335
496	22021	22287
497	22064	22241
498	22106	22194
499	22153	22153
500	22207	22118
501	22264	22087
502	22311	22044
503	22356	22001
504	22399	21955
505	22443	21910
506	22484	21863
507	22528	21818
508	22573	21775
509	22613	21726
510	22655	21679
511	22698	21634
512	22740	21588
513	22783	21542
514	22826	21496
515	22868	21449
516	22909	21402
517	22951	21356
518	22994	21310
519	23034	21262
520	23077	21217
521	23118	21169
522	23165	21127
523	23228	21100
524	23288	21070
525	23337	21030
526	23387	20991
527	23434	20949
528	23479	20905
529	23525	20861
530	23570	20818
531	23608	20768
532	23649	20720
533	23690	20673
534	23731	20626
535	23776	20582
536	23818	20536
537	23857	20487
538	23900	20441
539	23941	20394
540	23981	20346
541	24022	20299
542	24066	20255
543	24108	20208
544	24153	20164
545	24203	20124
546	24259	20090
547	24308	20050
548	24354	20006
549	24397	19961
550	24441	19917
551	24481	19869
552	24524	19823
553	24569	19779
554	24614	19735
555	24653	19687
556	24697	19643
557	24736	19594
558	24779	19549
559	24823	19503
560	24864	19457
561	24904	19409
562	24944	19362
563	24986	19315
564	25029	19270
565	25072	19224
566	25113	19178
567	25158	19134
568	25212	19097
569	25265	19060
570	25313	19018
571	25359	18975
572	25402	18929
573	25444	18884
574	25487	18838
575	25531	18793
576	25571	18746
577	25613	18700
578	25654	18654
579	25698	18609
580	25744	18565
581	25786	18520
582	25830	18475
583	25872	18429
584	25914	18383
585	25958	18339
586	25997	18291
587	26039	18245
588	26084	18201
589	26131	18159
590	26178	18117
591	26242	18086
592	26294	18047
593	26340	18003
594	26385	17959
595	26431	17916
596	26478	17873
597	26523	17830
598	26567	17785
599	26608	17739
600	26650	17693
601	26694	17648
602	26734	17601
603	26779	17557
604	26822	17511
605	26863	17465
606	26905	17419
607	26949	17375
608	26992	17329
609	27034	17284
610	27080	17241
611	27123	17196
612	27170	17153
613	27228	17117
614	27284	17080
615	27330	17037
616	27374	16992
617	27414	16945
618	27460	16902
619	27505	16858
620	27550	16813
621	27593	16769
622	27637	16724
623	27679	16678
624	27720	16632
625	27760	16585
626	27800	16538
627	27842	16492
628	27882	16445
629	27924	16400
630	27967	16355
631	28008	16308
632	28048	16261
633	28092	16217
634	28132	16170
635	28176	16126
636	28236	16090
637	28282	16047
638	28325	16002
639	28365	15955
640	28406	15909
641	28448	15863
642	28489	15817
643	28534	15773
644	28578	15729
645	28624	15685
646	28671	15642
647	28717	15599
648	28759	15553
649	28798	15506
650	28842	15462
651	28886	15418
652	28928	15372
653	28971	15327
654	29017	15283
655	29057	15237
656	29101	15193
657	29147	15149
658	29204	15112
659	29256	15071
660	29302	15028
661	29347	14984
662	29393	14940
663	29435	14895
664	29476	14849
665	29521	14805
666	29562	14759
667	29607	14715
668	29652	14671
669	29696	14626
670	29740	14582
671	29781	14536
672	29822	14490
673	29863	14444
674	29904	14398
675	29945	14352
676	29988	14307
677	30031	14262
678	30071	14216
679	30113	14171
680	30157	14126
681	30213	14087
682	30264	14046
683	30309	14002
684	30351	13957
685	30391	13910
686	30431	13864
687	30474	13819
688	30514	13773
689	30556	13728
690	30599	13683
691	30639	13637
692	30681	13592
693	30723	13546
694	30768	13502
695	30813	13458
696	30856	13414
697	30899	13368
698	30938	13322
699	30982	13278
700	31028	13234
701	31071	13189
702	31115	13145
703	31158	13100
704	31216	13062
705	31264	13019
706	31310	12975
707	31352	12930
708	31395	12885
709	31435	12839
710	31479	12795
711	31518	12749
712	31561	12704
713	31605	12659
714	31646	12614
715	31688	12569
716	31734	12525
717	31780	12481
718	31821	12436
719	31864	12391
720	31909	12347
721	31948	12301
722	31990	12256
723	32030	12210
724	32070	12164
725	32114	12120
726	32159	12076
727	32217	12037
728	32264	11994
729	32309	11949
730	32351	11904
731	32396	11861
732	32438	11816
733	32478	11770
734	32521	11725
735	32562	11679
736	32605	11635
737	32646	11589
738	32691	11545
739	32733	11501
740	32777	11456
741	32817	11411
742	32859	11365
743	32905	11322
744	32949	11278
745	32994	11234
746	33036	11188
747	33081	11145
748	33126	11101
749	33173	11057
750	33230	11017
751	33276	10974
752	33322	10930
753	33366	10886
754	33410	10841
755	33455	10797
756	33496	10752
757	33536	10706
758	33577	10661
759	33619	10616
760	33659	10571
761	33701	10526
762	33742	10481
763	33784	10435
764	33827	10391
765	33870	10346
766	33916	10303
767	33958	10258
768	34002	10213
769	34044	10169
770	34085	10123
771	34129	10079
772	34180	10037
773	34237	9996
774	34282	9952
775	34324	9908
776	34365	9862
777	34407	9818
778	34448	9772
779	34490	9728
780	34530	9682
781	34573	9638
782	34617	9593
783	34658	9548
784	34704	9504
785	34747	9460
786	34786	9414
787	34825	9369
788	34868	9324
789	34911	9280
790	34953	9235
791	34998	9191
792	35043	9147
793	35086	9103
794	35134	9059
795	35193	9019
796	35243	8976
797	35287	8932
798	35330	8888
799	35375	8843
800	35416	8798
801	35462	8755
802	35504	8710
803	35544	8665
804	35584	8619
805	35625	8574
806	35669	8530
807	35711	8485
808	35755	8441
809	35796	8396
810	35836	8351
811	35876	8306
812	35919	8261
813	35957	8216
814	35998	8171
815	36039	8126
816	36086	8082
817	36131	8039
818	36187	7997
819	36241	7955
820	36287	7911
821	36327	7866
822	36369	7821
823	36413	7777
824	36453	7732
825	36494	7687
826	36534	7642
827	36576	7598
828	36616	7553
829	36658	7508
830	36700	7463
831	36742	7419
832	36783	7374
833	36822	7329
834	36865	7284
835	36909	7240
836	36953	7196
837	36995	7151
838	37039	7107
839	37082	7063
840	37128	7019
841	37190	6978
842	37249	6937
843	37299	6894
844	37345	6850
845	37388	6805
846	37431	6761
847	37474	6717
848	37517	6672
849	37559	6628
850	37602	6583
851	37645	6539
852	37689	6495
853	37735	6451
854	37778	6406
855	37818	6362
856	37862	6317
857	37901	6272
858	37944	6228
859	37985	6183
860	38027	6139
861	38071	6095
862	38116	6050
863	38167	6007
864	38224	5965
865	38271	5921
866	38317	5878
867	38359	5833
868	38401	5789
869	38445	5744
870	38486	5700
871	38532	5656
872	38575	5611
873	38615	5567
874	38659	5522
875	38698	5477
876	38740	5433
877	38785	5389
878	38829	5345
879	38870	5300
880	38913	5256
881	38957	5211
882	38998	5167
883	39042	5123
884	39085	5078
885	39129	5034
886	39187	4992
887	39239	4949
888	39284	4905
889	39325	4860
890	39371	4816
891	39415	4772
892	39460	4728
893	39502	4683
894	39542	4639
895	39585	4594
896	39627	4550
897	39669	4505
898	39710	4461
899	39753	4417
900	39797	4372
901	39838	4328
902	39881	4284
903	39926	4239
904	39969	4195
905	40009	4151
906	40050	4106
907	40094	4062
908	40136	4018
909	40192	3975
910	40240	3931
911	40286	3887
912	40329	3842
913	40372	3798
914	40419	3754
915	40462	3710
916	40504	3666
917	40545	3621
918	40589	3577
919	40634	3533
920	40673	3488
921	40715	3444
922	40756	3400
923	40800	3355
924	40839	3311
925	40882	3267
926	40924	3222
927	40967	3178
928	41010	3134
929	41054	3090
930	41099	3046
931	41146	3002
932	41205	2958
933	41252	2915
934	41296	2870
935	41336	2826
936	41379	2782
937	41421	2737
938	41464	2693
939	41509	2649
940	41554	2605
941	41598	2561
942	41642	2517
943	41683	2472
944	41725	2428
945	41768	2384
946	41808	2339
947	41848	2295
948	41889	2251
949	41929	2206
950	41969	2162
951	42009	2118
952	42051	2073
953	42094	2029
954	42142	1985
955	42202	1942
956	42248	1898
957	42291	1854
958	42333	1809
959	42374	1765
960	42413	1721
961	42453	1676
962	42497	1632
963	42543	1588
964	42585	1544
965	42628	1500
966	42670	1456
967	42711	1411
968	42750	1367
969	42793	1323
970	42838	1279
971	42880	1235
972	42919	1190
973	42963	1146
974	43006	1102
975	43047	1058
976	43091	1014
977	43140	970
978	43199	926
979	43248	882
980	43294	838
981	43340	794
982	43384	750
983	43427	706
984	43467	661
985	43510	617
986	43551	573
987	43593	529
988	43639	485
989	43683	441
990	43729	397
991	43772	353
992	43813	308
993	43856	264
994	43898	220
995	43938	176
996	43979	132
997	44021	88
998	44060	44
999	44107	0
