iter	MultiClass
208	1.505087954
209	1.504283367
210	1.502377565
211	1.501469083
212	1.500516661
213	1.499433098
214	1.49753128
215	1.496767808
216	1.495900045
217	1.494817829
218	1.493672912
219	1.492500968
220	1.491679512
221	1.490588738
222	1.489245405
223	1.488536847
224	1.487789554
225	1.486877033
226	1.485251927
227	1.484301608
228	1.483334868
229	1.482249694
230	1.481394018
231	1.480712003
232	1.480070604
233	1.478917095
234	1.477985592
235	1.477172198
236	1.476103484
237	1.474871231
238	1.474095394
239	1.473377028
240	1.472739108
241	1.472132456
242	1.471227511
243	1.470558619
244	1.469453578
245	1.467988116
246	1.466689282
247	1.465708376
248	1.465070266
249	1.464118908
250	1.463297688
251	1.46244205
252	1.461841519
253	1.461038125
254	1.460187629
255	1.459118726
256	1.458420708
257	1.457774023
258	1.457167066
259	1.456495051
260	1.455816322
261	1.454225908
262	1.453014148
263	1.452280178
264	1.451425418
265	1.450621368
266	1.450143273
267	1.449342235
268	1.448230023
269	1.447659516
270	1.446684948
271	1.445927668
272	1.444701504
273	1.443656524
274	1.442749228
275	1.442011112
276	1.441129376
277	1.439993999
278	1.439194105
279	1.43840142
280	1.437573409
281	1.437127243
282	1.436524644
283	1.435104439
284	1.434558749
285	1.433844888
286	1.433280827
287	1.432632874
288	1.432197615
289	1.431777867
290	1.430590731
291	1.429796943
292	1.428381841
293	1.427567008
294	1.426627014
295	1.425248372
296	1.424745468
297	1.423966224
298	1.422873613
299	1.422088773
300	1.420969678
301	1.419539348
302	1.418681116
303	1.418017292
304	1.417225609
305	1.416314465
306	1.414879081
307	1.41418678
308	1.413331065
309	1.411702588
310	1.411141206
311	1.410826308
312	1.409966431
313	1.409555064
314	1.408504668
315	1.407486218
316	1.406808073
317	1.405609565
318	1.404822562
319	1.403776475
320	1.40300571
321	1.402294619
322	1.401419536
323	1.400822604
324	1.399979843
325	1.399242193
326	1.398806749
327	1.398111162
328	1.397246659
329	1.396363604
330	1.395611151
331	1.394708305
332	1.394146607
333	1.39351878
334	1.39284324
335	1.392186965
336	1.391634408
337	1.390739181
338	1.390306663
339	1.388847495
340	1.388256861
341	1.386906466
342	1.386215709
343	1.385268472
344	1.384598862
345	1.383703021
346	1.382888187
347	1.382264119
348	1.381645277
349	1.38090747
350	1.37987048
351	1.37942922
352	1.378679122
353	1.377754506
354	1.377071523
355	1.376205283
356	1.375459913
357	1.374746151
358	1.374313467
359	1.372881011
360	1.372096914
361	1.371370756
362	1.37048277
363	1.369246543
364	1.368111173
365	1.367178023
366	1.366639452
367	1.366171064
368	1.365500664
369	1.364788256
370	1.364022923
371	1.362925386
372	1.362249841
373	1.361582733
374	1.361151754
375	1.35993366
376	1.359297765
377	1.358681831
378	1.357652725
379	1.356963254
380	1.356207172
381	1.355616458
382	1.354646514
383	1.354160988
384	1.353679487
385	1.353103784
386	1.352066529
387	1.351484713
388	1.350593864
389	1.349202068
390	1.348509231
391	1.347911185
392	1.34709172
393	1.346547573
394	1.345368183
395	1.344749675
396	1.344182219
397	1.343843026
398	1.343111551
399	1.342294334
400	1.341804588
401	1.341160183
402	1.340153782
403	1.339103287
404	1.338461176
405	1.337553815
406	1.336906515
407	1.336196844
408	1.335522733
409	1.3348609
410	1.334380453
411	1.333752372
412	1.333178659
413	1.332393181
414	1.331731817
415	1.331079664
416	1.330626767
417	1.33003395
418	1.329430984
419	1.328991086
420	1.328548158
421	1.328029176
422	1.327328232
423	1.326805856
424	1.326221293
425	1.32496453
426	1.324367147
427	1.323940058
428	1.323294517
429	1.322702239
430	1.322346845
431	1.32204184
432	1.321366037
433	1.320236809
434	1.319667241
435	1.319063605
436	1.318463928
437	1.317985557
438	1.317398481
439	1.316851842
440	1.316246241
441	1.31565836
442	1.31483974
443	1.314421751
444	1.313350686
445	1.312804572
446	1.312226758
447	1.311742567
448	1.311232602
449	1.310638076
450	1.309991522
451	1.309428297
452	1.308880816
453	1.308092005
454	1.307126163
455	1.306625386
456	1.305822815
457	1.30486352
458	1.30426409
459	1.303710864
460	1.303224631
461	1.3028674
462	1.302352453
463	1.301892754
464	1.30123034
465	1.30067343
466	1.299746737
467	1.299038672
468	1.298557391
469	1.298165094
470	1.297255294
471	1.296435145
472	1.295800022
473	1.295424865
474	1.295123083
475	1.294354097
476	1.293756862
477	1.293098647
478	1.292492668
479	1.292115478
480	1.291219301
481	1.290534667
482	1.289972189
483	1.289487278
484	1.289102766
485	1.288476126
486	1.287577804
487	1.286776435
488	1.286146469
489	1.285423609
490	1.28479124
491	1.283644236
492	1.283214437
493	1.282756525
494	1.281963522
495	1.281270276
496	1.280620264
497	1.279750411
498	1.279210875
499	1.278763067
500	1.278106172
501	1.277688491
502	1.276968036
503	1.276304977
504	1.275965425
505	1.275456934
506	1.274955565
507	1.274406774
508	1.273842085
509	1.272999813
510	1.272266187
511	1.271631197
512	1.271325532
513	1.270921756
514	1.270374729
515	1.269655495
516	1.269339188
517	1.268282831
518	1.267788112
519	1.267281825
520	1.266494312
521	1.265711919
522	1.265270646
523	1.264857702
524	1.264392387
525	1.263432007
526	1.262902777
527	1.261982667
528	1.261524152
529	1.261030392
530	1.260671621
531	1.260321162
532	1.259976012
533	1.258952001
534	1.258463972
535	1.257667484
536	1.257118147
537	1.256595054
538	1.256086832
539	1.255476854
540	1.255134122
541	1.254580626
542	1.254125796
543	1.25366047
544	1.253252432
545	1.252729073
546	1.252233242
547	1.251475447
548	1.250933978
549	1.250450216
550	1.249886489
551	1.249199619
552	1.248612023
553	1.24804087
554	1.24757376
555	1.246869853
556	1.246248511
557	1.245790512
558	1.24538995
559	1.244515872
560	1.243437773
561	1.243001495
562	1.242574137
563	1.242239343
564	1.241880602
565	1.24113384
566	1.240631051
567	1.240130299
568	1.239731966
569	1.239302625
570	1.238273019
571	1.237828033
572	1.23724185
573	1.236681148
574	1.236371687
575	1.235974721
576	1.235447038
577	1.234874765
578	1.234148233
579	1.233509756
580	1.23288767
581	1.232344156
582	1.231801188
583	1.231391738
584	1.230894204
585	1.230492547
586	1.230020668
587	1.229667265
588	1.229289938
589	1.228552142
590	1.228038994
591	1.227674423
592	1.227106902
593	1.226764566
594	1.226385536
595	1.225898316
596	1.225227496
597	1.224922435
598	1.224251062
599	1.223680929
600	1.223160336
601	1.222509439
602	1.222000923
603	1.221330885
604	1.220928617
605	1.220475018
606	1.219949364
607	1.219571168
608	1.219227951
609	1.21872308
610	1.218016581
611	1.217467746
612	1.217127032
613	1.216680664
614	1.216302998
615	1.21594304
616	1.215610131
617	1.215350242
618	1.214549204
619	1.214176637
620	1.213322094
621	1.212921855
622	1.212549778
623	1.212099849
624	1.211681407
625	1.211331088
626	1.210900856
627	1.210441604
628	1.210064631
629	1.2096212
630	1.209189082
631	1.208604628
632	1.208260152
633	1.207577446
634	1.206877439
635	1.206474602
636	1.205575253
637	1.2052042
638	1.204892791
639	1.204459633
640	1.204179016
641	1.203797767
642	1.203125
643	1.202739718
644	1.202240025
645	1.201818284
646	1.201613823
647	1.201059287
648	1.200435967
649	1.19960627
650	1.199023176
651	1.198624489
652	1.198101367
653	1.197621996
654	1.197269054
655	1.19676033
656	1.196270751
657	1.195800512
658	1.19538889
659	1.194549867
660	1.194059142
661	1.193303367
662	1.192463878
663	1.191656939
664	1.191174657
665	1.190684621
666	1.190337511
667	1.189739396
668	1.189271035
669	1.188733519
670	1.188396442
671	1.188110015
672	1.187440161
673	1.186850903
674	1.186286673
675	1.185786628
676	1.185322597
677	1.18491122
678	1.18459768
679	1.183875161
680	1.183351441
681	1.182889193
682	1.182512729
683	1.181859317
684	1.181609639
685	1.181181532
686	1.180675119
687	1.180256002
688	1.18001922
689	1.179644291
690	1.179062825
691	1.178583948
692	1.178183073
693	1.177836144
694	1.177431047
695	1.176830323
696	1.176264398
697	1.175919369
698	1.175298852
699	1.174737763
700	1.174132076
701	1.173712389
702	1.173253782
703	1.172909688
704	1.172484654
705	1.172070918
706	1.171633482
707	1.170955013
708	1.170440598
709	1.17012183
710	1.169523944
711	1.169055461
712	1.168712747
713	1.168366349
714	1.167994523
715	1.167778654
716	1.167361777
717	1.166846737
718	1.166318025
719	1.16584491
720	1.165116104
721	1.164859027
722	1.164418138
723	1.163633935
724	1.163195481
725	1.16289286
726	1.162420665
727	1.161654345
728	1.161320045
729	1.161099274
730	1.160569492
731	1.160092648
732	1.159793744
733	1.159077012
734	1.158602211
735	1.157901454
736	1.157659959
737	1.157157796
738	1.156414284
739	1.156121363
740	1.155663487
741	1.155293914
742	1.154836866
743	1.154138181
744	1.153878858
745	1.153619534
746	1.153156437
747	1.152760483
748	1.15236206
749	1.151980479
750	1.151233468
751	1.150741978
752	1.150292515
753	1.149718984
754	1.149426093
755	1.14883227
756	1.148343209
757	1.147879299
758	1.147345979
759	1.146922176
760	1.146565892
761	1.146246291
762	1.146008935
763	1.145520201
764	1.145184392
765	1.144985465
766	1.144733097
767	1.144523292
768	1.144208759
769	1.143706354
770	1.143278359
771	1.142894528
772	1.142672948
773	1.142174392
774	1.141879049
775	1.14155025
776	1.140937712
777	1.140647073
778	1.140389569
779	1.140181467
780	1.140008235
781	1.139705379
782	1.139254813
783	1.138803999
784	1.138361813
785	1.137842117
786	1.137280892
787	1.136794539
788	1.13623997
789	1.135914238
790	1.135482144
791	1.135012406
792	1.134648078
793	1.134208416
794	1.133677954
795	1.133285572
796	1.13276862
797	1.132597237
798	1.132305152
799	1.131576528
800	1.131363799
801	1.13075508
802	1.130436315
803	1.129997199
804	1.129408729
805	1.128880974
806	1.128416752
807	1.127916504
808	1.127678503
809	1.127310097
810	1.12675152
811	1.126452047
812	1.126041221
813	1.125718571
814	1.12532686
815	1.125101438
816	1.124498272
817	1.124135958
818	1.123929077
819	1.123137641
820	1.122716461
821	1.122270336
822	1.121909786
823	1.121500552
824	1.12095789
825	1.120379745
826	1.119533086
827	1.119198374
828	1.118557428
829	1.11824033
830	1.118032432
831	1.117676997
832	1.117354813
833	1.116893962
834	1.116592688
835	1.116127992
836	1.115628565
837	1.115164605
838	1.114773483
839	1.114370112
840	1.114090357
841	1.113531464
842	1.113205382
843	1.112831869
844	1.112189508
845	1.111748707
846	1.111407972
847	1.111165461
848	1.110681595
849	1.110433012
850	1.109958492
851	1.10912886
852	1.10846588
853	1.107867814
854	1.107446583
855	1.106987697
856	1.106513472
857	1.106166897
858	1.105944708
859	1.10563746
860	1.105206091
861	1.104736868
862	1.104363304
863	1.10390322
864	1.103537747
865	1.103188189
866	1.102585548
867	1.102105989
868	1.101791864
869	1.101421867
870	1.100921665
871	1.100378509
872	1.099665726
873	1.099459555
874	1.098942321
875	1.09844028
876	1.097802712
877	1.097341019
878	1.097103875
879	1.096804579
880	1.0963576
881	1.09598418
882	1.095337774
883	1.095003199
884	1.094511116
885	1.094111119
886	1.093691833
887	1.093061955
888	1.09260369
889	1.092240266
890	1.091914038
891	1.09160997
892	1.090941759
893	1.090709974
894	1.090106382
895	1.089794631
896	1.089214372
897	1.088829026
898	1.088212068
899	1.087826163
900	1.087335234
901	1.086877678
902	1.086535179
903	1.086132487
904	1.085890564
905	1.085650053
906	1.085386346
907	1.085198318
908	1.084574524
909	1.084198893
910	1.0839096
911	1.083451778
912	1.082926711
913	1.082616621
914	1.082118094
915	1.081754145
916	1.081452511
917	1.080916203
918	1.080419093
919	1.080023324
920	1.079787815
921	1.079522616
922	1.079301211
923	1.078641808
924	1.077965409
925	1.077685496
926	1.077312669
927	1.076872173
928	1.076370831
929	1.076002553
930	1.075531898
931	1.07507943
932	1.074677289
933	1.074356827
934	1.074019648
935	1.073645098
936	1.073272652
937	1.072576348
938	1.072094593
939	1.071607164
940	1.071197452
941	1.070950618
942	1.070600994
943	1.070335943
944	1.069954228
945	1.069295316
946	1.069029441
947	1.068825653
948	1.068429024
949	1.068094096
950	1.067886001
951	1.06764644
952	1.067322678
953	1.066946054
954	1.066489605
955	1.066080298
956	1.065623573
957	1.065286929
958	1.064951671
959	1.064542249
960	1.064074569
961	1.06376026
962	1.063479535
963	1.063104492
964	1.062803385
965	1.062594832
966	1.062321913
967	1.062067354
968	1.061721263
969	1.061483431
970	1.06089945
971	1.060628357
972	1.060227037
973	1.05947342
974	1.0592215
975	1.058816894
976	1.058317646
977	1.057804998
978	1.057349794
979	1.056934913
980	1.056501555
981	1.056288549
982	1.055776284
983	1.055443244
984	1.054853773
985	1.054559242
986	1.054244805
987	1.054017021
988	1.053344258
989	1.05289263
990	1.052641403
991	1.052390378
992	1.052122797
993	1.05171646
994	1.051331465
995	1.050985311
996	1.050551257
997	1.05027725
998	1.049865769
999	1.049290762
